COMMAND,ZIPREF,ZIPCODE
"-z",29501,29501
"-z",29520,29520
"-z",29526,29526
"-z",29569,29569
"-z",29588,29588
"-z",29607,29607
"-z",29609,29609
"-z",29621,29621
"-z",29642,29642
"-z",29650,29650
"-z",29650,29650
"-z",29678,29678
"-z",29678,29678
"-z",29691,29691
"-z",29704,29704
"-z",29708,29708
"-z",29728,29728
"-z",29801,29801
"-z",29829,29829
"-z",29842,29842
"-z",29910,29910
"-z",30013,30013
"-z",30013,30013
"-z",30014,30014
"-z",30016,30016
"-z",30019,30019
"-z",30022,30022
"-z",30024,30024
"-z",30033,30033
"-z",30034,30034
"-z",30040,30040
"-z",30043,30043
"-z",30044,30044
"-z",30044,30044
"-z",30046,30046
"-z",30046,30046
"-z",30047,30047
"-z",30047,30047
"-z",30048,30048
"-z",30052,30052
"-z",30055,30055
"-z",30062,30062
"-z",30062,30062
"-z",30064,30064
"-z",30066,30066
"-z",30071,30071
"-z",30076,30076
"-z",30080,30080
"-z",30082,30082
"-z",30083,30083
"-z",30093,30093
"-z",30096,30096
"-z",30097,30097
"-z",30101,30101
"-z",30106,30106
"-z",30114,30114
"-z",30115,30115
"-z",30116,30116
"-z",30117,30117
"-z",30126,30126
"-z",30134,30134
"-z",30135,30135
"-z",30147,30147
"-z",30157,30157
"-z",30165,30165
"-z",30180,30180
"-z",30188,30188
"-z",30188,30188
"-z",30223,30223
"-z",30224,30224
"-z",30236,30236
"-z",30252,30252
"-z",30252,30252
"-z",30253,30253
"-z",30263,30263
"-z",30265,30265
"-z",30274,30274
"-z",30288,30288
"-z",30291,30291
"-z",30308,30308
"-z",30315,30315
"-z",30316,30316
"-z",30319,30319
"-z",30324,30324
"-z",30331,30331
"-z",30341,30341
"-z",30349,30349
"-z",30349,30349
"-z",30360,30360
"-z",30457,30457
"-z",30517,30517
"-z",30519,30519
"-z",30533,30533
"-z",30540,30540
"-z",30566,30566
"-z",30566,30566
"-z",30605,30605
"-z",30701,30701
"-z",30813,30813
"-z",30815,30815
"-z",30909,30909
"-z",31069,31069
"-z",31308,31308
"-z",31322,31322
"-z",31326,31326
"-z",31601,31601
"-z",31626,31626
"-z",31721,31721
"-z",31756,31756
"-z",31903,31903
"-z",32003,32003
"-z",32038,32038
"-z",32054,32054
"-z",32086,32086
"-z",32117,32117
"-z",32125,32125
"-z",32129,32129
"-z",32140,32140
"-z",32164,32164
"-z",32168,32168
"-z",32169,32169
"-z",32179,32179
"-z",32205,32205
"-z",32211,32211
"-z",32221,32221
"-z",32221,32221
"-z",32223,32223
"-z",32304,32304
"-z",32304,32304
"-z",32407,32407
"-z",32433,32433
"-z",32443,32443
"-z",32444,32444
"-z",32444,32444
"-z",32501,32501
"-z",32506,32506
"-z",32507,32507
"-z",32514,32514
"-z",32514,32514
"-z",32526,32526
"-z",32531,32531
"-z",32536,32536
"-z",32539,32539
"-z",32539,32539
"-z",32541,32541
"-z",32548,32548
"-z",32570,32570
"-z",32571,32571
"-z",32603,32603
"-z",32605,32605
"-z",32607,32607
"-z",32607,32607
"-z",32607,32607
